Length,Time,Type,Make,Model,Driver,Date,Notes
"20,600 m (67,600 ft)",6:44.97,Production,Lamborghini,Lamborghini Aventador LP770-4 SVJ (2018),Marco Mapelli,26 July 2018,"Lamborghini conducted test, full roll cage, Pirelli P Zero Trofeo R.[21][22]"
"20,600 m (67,600 ft)",6:47.25,Production,Porsche,Porsche 911 GT2 RS (991.2),Lars Kern,20 September 2017,"Porsche conducted test. OEM Michelin Pilot Sport Cup 2 'N2', OEM ""Weissach Package"", OEM deletion of audio and communication system, Porsche Motorsport bucket seat and harness on driver's side.[23][24][25][26]"
"20,600 m (67,600 ft)",6:48.28,Production,Radical,Radical SR8 LM,Michael Vergers,19 August 2009,"Dunlop Direzza DZ03 tyres.  Production sportscar with road-going production car status,[27][28][29][2][30][31][32][33][34][35][32] road legal version is available with British Single Vehicle Approval. Timing overseen by Evo magazine who consider it to be a road legal production car, timed by Sport Auto, who do not consider it to be a road legal production car lap.[36][11][37][38][39][40][41][42][33]"
"20,600 m (67,600 ft)",6:52.01,Production,Lamborghini,Lamborghini Huracan LP 640-4 Performante (2017),Marco Mapelli,5 October 2016,"Lamborghini conducted test, full roll cage, Pirelli Trofeo R.[43][44]"
"20,600 m (67,600 ft)",6:55,Production,Radical,Radical SR8,Michael Vergers,28 September 2005,"Dunlop Direzza DZ03 tyres. Road legal track car, road legal version is available with British Single Vehicle Approval.[37][39][45] Timed by Sport Auto, who do not consider it to be a road legal production car lap, but considered a road legal production car by Pistonheads.[11][46][47][48]"
"20,600 m (67,600 ft)",6:56.4,Production,Porsche,Porsche 911 GT3 RS (991.2),K̩vin Estre,16 April 2018,"Porsche conducted test. OEM Michelin Pilot Sport Cup 2 R 'N0', OEM ""Weissach Package"", OEM deletion of audio and communication system, Porsche Motorsport bucket seat and harness on driver's side.[49][50][51]"
"20,600 m (67,600 ft)",6:57,Production,Porsche,Porsche 918 Spyder,Marc Lieb,4 September 2013,"Porsche conducted test, observed by Sport Auto. ""Weissach Package"", Michelin Pilot Sport Cup 2 'N0'.[52][53][54]"
"20,600 m (67,600 ft)",6:59.73,Production,Lamborghini,Lamborghini Aventador LP 750-4 Superveloce (2015),Marco Mapelli,18 May 2015,"Lamborghini conducted test, full roll cage, Pirelli P Zero Corsa.[55][56]"
"20,600 m (67,600 ft)",7:00.03,Production,Ferrari,Ferrari 488 Pista,Christian Gebhardt,16 October 2019,Michelin Pilot Sport Cup 2 R K1[57]
"20,600 m (67,600 ft)",7:01.3,Production,Dodge,Dodge Viper ACR (2017),Lance David Arnold,1 September 2017,"OEM ""GTS-R Commemorative Edition"", ""Extreme Aero Package"", Kumho Ecsta V720 ACR. Privately funded and observed by Road & Track. Third attempt, testing ended by tyre failure resulting in crash.[58][59]"
