20.6 km,06:45.0,Production,Lamborghini,Lamborghini Aventador LP770-4 SVJ (2018),Marco Mapelli,2018-07-26,Lamborghini conducted test full roll cage Pirelli P Zero Trofeo R.[21][22]
20.6 km,06:47.2,Production,Porsche,Porsche 911 GT2 RS (991.2),Lars Kern,2017-09-20,"Porsche conducted test. OEM Michelin Pilot Sport Cup 2 'N2' OEM ""Weissach Package"" OEM deletion of audio and communication system Porsche Motorsport bucket seat and harness on driver's side.[23][24][25][26]"
20.6 km,06:48.3,Production,Radical,Radical SR8 LM,Michael Vergers,2009-08-19,Dunlop Direzza DZ03 tyres.  Production sportscar with road-going production car status[27][28][29][2][30][31][32][33][34][35][32] road legal version is available with British Single Vehicle Approval. Timing overseen by Evo magazine who consider it to be a road legal production car timed by Sport Auto who do not consider it to be a road legal production car lap.[36][11][37][38][39][40][41][42][33]
20.6 km,06:52.0,Production,Lamborghini,Lamborghini Huracan LP 640-4 Performante (2017),Marco Mapelli,2016-10-05,Lamborghini conducted test full roll cage Pirelli Trofeo R.[43][44]
20.6 km,6:55,Production,Radical,Radical SR8,Michael Vergers,2005-09-28,Dunlop Direzza DZ03 tyres. Road legal track car road legal version is available with British Single Vehicle Approval.[37][39][45] Timed by Sport Auto who do not consider it to be a road legal production car lap but considered a road legal production car by Pistonheads.[11][46][47][48]
20.6 km,06:56.4,Production,Porsche,Porsche 911 GT3 RS (991.2),Kevin Estre,2018-04-16,"Porsche conducted test. OEM Michelin Pilot Sport Cup 2 R 'N0' OEM ""Weissach Package"" OEM deletion of audio and communication system Porsche Motorsport bucket seat and harness on driver's side.[49][50][51]"
20.6 km,6:57,Production,Porsche,Porsche 918 Spyder,Marc Lieb,2013-09-04,"Porsche conducted test observed by Sport Auto. ""Weissach Package"" Michelin Pilot Sport Cup 2 'N0'.[52][53][54]"
20.6 km,06:59.7,Production,Lamborghini,Lamborghini Aventador LP 750-4 Superveloce (2015),Marco Mapelli,2015-05-18,Lamborghini conducted test full roll cage Pirelli P Zero Corsa.[55][56]
20.6 km,07:00.0,Production,Ferrari,Ferrari 488 Pista,Christian Gebhardt,2019-10-16,Michelin Pilot Sport Cup 2 R K1[57]
20.6 km,07:01.3,Production,Dodge,Dodge Viper ACR (2017),Lance David Arnold,2017-09-01,"OEM ""GTS-R Commemorative Edition"" ""Extreme Aero Package"" Kumho Ecsta V720 ACR. Privately funded and observed by Road & Track. Third attempt testing ended by tyre failure resulting in crash.[58][59]"
20.6 km,07:04.6,Production,Mercedes_Benz,Mercedes-AMG GT R Pro,Maro Engel,2018-11-01,Mercedes_Benz conducted test (11/2018). Ambient temperature of 12Â Â°C (54Â Â°F). Vehicle in accordance with regulations. Timed by wige SOLUTIONS.[60][61][62][63][tire information missing]
20.6 km,07:05.4,Production,Porsche,Porsche 911 GT3 RS (991.2),Christian Gebhardt,2018-09-01,Sport Auto (09/2018) OEM deletion of audio and communication system Porsche Motorsport bucket seat and harness on driver's side.[64][65]
20.6 km,07:08.3,Production,McLaren,McLaren 720S,Christian Gebhardt,2019-02-01,Sport Auto (2/2019) Pirelli P Zero Corsa.[66][67]
20.6 km,07:08.7,Production,Nissan,Nissan GT-R NISMO (2015),Michael Krumm,2013-09-30,"Nissan conducted test. Pre-production NISMO ""N Attack Package"" (available on order from NISMO Japan in 2015) 255/40RF-20 run-flat Dunlop SP Sport Maxx GT 600 DSST.[68][69][70][71]"
20.6 km,07:08.8,Production,McLaren,McLaren 600LT,Christian Gebhardt,2019-09-01,Sport Auto (9/2019) Pirelli P Zero Trofeo R MC.[72]
20.6 km,07:10.9,Production,Mercedes_Benz,Mercedes-AMG GT R (2017),Christian Gebhardt,2016-12-01,Sport Auto (1/2017) Michelin Pilot Sport Cup 2 'ZP'.[73][74][75]
20.6 km,07:11.6,Production,Gumpert,Gumpert Apollo Sport,Florian Gruber,2009-08-13,Observed by Sport Auto Michelin Pilot Sport Cup.[76][77][78]
20.6 km,07:12.1,Production,Dodge,Dodge Viper ACR (2010),Dominik Farnbacher,2011-09-14,SRT Viper Club of America and ViperExchange conducted test. Michelin Pilot Sport Cup.[79][80][81]
20.6 km,07:12.7,Production,Porsche,Porsche 911 GT3 (991.2),Lars Kern,2017-05-04,"Porsche conducted test. Michelin Pilot Sport Cup 2 PDK carbon ceramic brakes OEM deletion of audio and communication system ""Clubsport Package"" Porsche Motorsport bucket seat and harness on driver's side.[82][83]"
20.6 km,7:13,Production,Porsche,Porsche 918 Spyder,Horst von Saurma,2014-06-01,Sport Auto (6/2014).[84][85]
20.6 km,07:13.9,Production,Chevrolet,Chevrolet Corvette C7 Z06,Christian Gebhardt,2017-04-24,Sport Auto (8/2017) Michelin Pilot Sport Cup 2 'ZP' manual.[86][87]
